Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),PM2.5 mean annual exposure,PM2.5 population exposed exceeding levels,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Land Border Countries,Passengerkm
Europe,Ireland,71.7,1.97,74100.0,1.547376,1.4203379999999999,1.030591,1.464224,0.7329243000000001,0.24600000000000002,0.243,10926000.0,0.221519,0.253,2019.0,3.2,2418323.0,4941444.0,14.22283075,3133123.0,6.3,8.208576735,0.274091679,38975,1811,7.887370574269383,0.36649206183455685,1,32.965515878706945
Asia,Israel,400.0,2.86,34400.0,0.7865694000000001,1.208207,-0.9324778,0.9939096,0.6362507,0.579,0.252,4121000.0,0.23333330000000002,0.261,2019.0,9.7,4181133.0,9053300.0,12.20867441,8374393.0,5.1,21.38110224,100.0,277026,1797,30.599449924336984,0.19849115792031635,5,33.742456771155354
Europe,Italy,206.0,1.52,36100.0,0.23561880000000002,0.4138835,0.3111933,0.24676149999999997,0.7389739000000001,0.188,0.237,61567200.0,0.3571429,0.19899999999999998,2019.0,5.0,25946128.0,60297396.0,23.01213665,42651966.0,10.7,16.75071194,94.777214,330263,36030,5.4772348709718734,0.5975382419499509,6,113.83722622314122
Asia,Japan,347.0,1.51,40100.0,1.424772,1.675817,1.059693,1.5341069999999999,0.8409252,0.647,0.221,31192000.0,0.1010753,0.043,2019.0,5.6,68139088.0,126264931.0,28.00204928,115782416.0,10.8,11.70477819,76.76150823,86543,1605,0.6854080488904714,0.012711367972790481,0,171.82121959317857
Asia,Jordan,115.0,3.12,8440.0,0.1495421,0.11271800000000001,-0.3794051,0.2337911,0.4480054,0.209,,4150000.0,0.1538461,0.355,2019.0,12.7,2637892.0,10101694.0,3.893416292,9213048.0,3.843,33.00608118,100.0,19001,122,1.8809716469336728,0.012077182302295042,5,8.175575008519804
Asia,Kazakhstan,6.96,2.51,26000.0,-0.5017262,0.0217204,0.0004052,-0.43160519999999997,0.6208115,0.161,0.24,8789000.0,0.27102800000000005,0.21,2019.0,6.1,9053149.0,18513930.0,7.652343941,10652915.0,7.15,13.82428836,87.41423053,142239,2107,7.682809646574228,0.11380619889996343,5,7.046726986287192
Africa,Kenya,94.5,3.63,3260.0,-0.8520129000000001,-0.4108523,-1.164113,-0.4110505,0.42739269999999996,0.111,0.107,,0.21776500000000001,0.071,2019.0,3.1,23879160.0,52573973.0,2.42382671,14461523.0,5.582000000000001,28.57837427,100.0,39586,743,0.7529581224534809,0.0141324681701343,5,11.920063909318195
Asia,Kuwait,240.0,1.94,64300.0,-0.28942829999999997,-0.08780589999999999,0.1102895,0.2107496,0.8738700999999999,0.726,0.225,8508000.0,0.04615385,0.379,2019.0,12.2,2424991.0,4207083.0,2.7638389830000003,4207083.0,2.6010000000000004,60.74515954,100.0,108268,632,25.734695512306267,0.15022285036924632,2,14.035915533574883
Europe,Latvia,30.3,1.6,28100.0,0.32858709999999997,1.043452,0.42153450000000003,0.9569856,0.5714286,,0.37,1946000.0,0.3,0.23600000000000002,2019.0,5.0,983102.0,1912789.0,20.336510999999998,1304943.0,14.8,13.42645752,89.01404620000001,2194,39,1.14701621558886,0.02038907584683935,4,4.300536847688899
Asia,Lebanon,667.0,1.7,11900.0,-1.108917,-0.6402023,-1.6448909999999999,-0.7644128000000001,0.5002146,0.35100000000000003,0.33799999999999997,1964000.0,0.046875,0.32,2019.0,11.2,2398864.0,6855713.0,7.2732916329999995,6084994.0,4.263,30.62111051,100.0,46918,424,6.843635373884526,0.06184622956065985,2,7.715370112666001
Africa,Libya,3.91,2.13,14600.0,-1.552711,-1.8470369999999998,-2.441388,-1.78583,,0.171,,,0.15957449999999998,0.325,2019.0,10.2,2422261.0,6777452.0,4.458238878,5448597.0,5.099,54.25468179,100.0,38468,602,5.6758793717757055,0.08882394150486052,6,0.6725047324880004
