Target Country,Country,Population,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Itself
China,Mongolia,3225167.0,315.0,0.0,0.09766936099743052,0.0,False
China,Myanmar,54045420.0,20033.0,471.0,0.3706697070723107,0.008714892029703904,False
China,Nepal,28608710.0,90814.0,563.0,3.174347952074735,0.01967932143742238,False
China,Pakistan,216565318.0,316351.0,6535.0,1.4607648303132268,0.030175653518076242,False
China,Russia,144373535.0,1237504.0,21663.0,8.571543254101245,0.150048275814539,False
China,South Korea,51709098.0,24353.0,425.0,0.4709616091156724,0.008219056538174384,False
China,Tajikistan,9321018.0,10014.0,78.0,1.0743461712014717,0.008368184676823926,False
China,Vietnam,96462106.0,1098.0,35.0,0.011382708148627815,0.00036283678069396494,False
Colombia,Brazil,211049527.0,4969141.0,147494.0,23.54490469907568,0.6988596567667267,False
Colombia,Colombia,50339443.0,869808.0,27017.0,17.2788562638645,0.5366964429860697,True
Colombia,Ecuador,17373662.0,142056.0,11702.0,8.17651454252995,0.6735482709402313,False
Colombia,Panama,4246439.0,116602.0,2440.0,27.458771926312846,0.5745990934992826,False
Colombia,Peru,32510453.0,832929.0,32914.0,25.620344324331622,1.0124128384184619,False
Colombia,Venezuela,28515829.0,79796.0,665.0,2.7983054604514566,0.02332038111183792,False
Comoros,Comoros,850886.0,491.0,7.0,0.577045573672619,0.008226718972929394,True
"Congo, Dem. Rep.",Angola,31825295.0,5725.0,211.0,0.17988835610164808,0.006629946399554191,False
"Congo, Dem. Rep.",Burundi,11530580.0,514.0,1.0,0.04457711580857164,8.672590624235729e-05,False
"Congo, Dem. Rep.",Central African Republic,4745185.0,4852.0,62.0,1.0225101866418276,0.013065876251400103,False
"Congo, Dem. Rep.","Congo, Dem. Rep.",86790567.0,10778.0,274.0,0.1241840026232344,0.0031570251177181503,True
"Congo, Dem. Rep.","Congo, Rep.",5380508.0,5089.0,89.0,0.945821472619314,0.01654118904757692,False
"Congo, Dem. Rep.",Rwanda,12626950.0,4873.0,29.0,0.3859205904830541,0.002296674969014687,False
"Congo, Dem. Rep.",South Sudan,,2734.0,50.0,,,False
"Congo, Dem. Rep.",Tanzania,58005463.0,509.0,21.0,0.008775035551392807,0.0003620348655780922,False
"Congo, Dem. Rep.",Uganda,44269594.0,9082.0,84.0,0.20515209604135967,0.0018974648830075106,False
"Congo, Dem. Rep.",Zambia,17861030.0,15170.0,334.0,0.8493351167317899,0.018699929399368348,False
"Congo, Rep.",Angola,31825295.0,5725.0,211.0,0.17988835610164808,0.006629946399554191,False
"Congo, Rep.",Cameroon,25876380.0,20924.0,420.0,0.8086138787573841,0.016231018403656153,False
"Congo, Rep.",Central African Republic,4745185.0,4852.0,62.0,1.0225101866418276,0.013065876251400103,False
"Congo, Rep.","Congo, Dem. Rep.",86790567.0,10778.0,274.0,0.1241840026232344,0.0031570251177181503,False
"Congo, Rep.","Congo, Rep.",5380508.0,5089.0,89.0,0.945821472619314,0.01654118904757692,True
"Congo, Rep.",Gabon,2172579.0,8808.0,54.0,4.054167880661647,0.024855252674356145,False
